iter	Passed	Remaining
0	21	1569
1	40	1495
2	54	1306
3	64	1142
4	84	1188
5	99	1141
6	111	1086
7	125	1051
8	138	1014
9	150	975
10	163	951
11	176	924
12	189	903
13	201	879
14	214	857
15	227	838
16	239	815
17	251	797
18	263	777
19	277	762
20	290	745
21	300	723
22	313	709
23	323	687
24	335	671
25	349	658
26	363	646
27	376	631
28	388	616
29	401	601
30	412	586
31	424	571
32	437	556
33	450	543
34	461	526
35	473	512
36	486	499
37	498	485
38	512	472
39	523	458
40	536	444
41	550	432
42	562	418
43	573	404
44	586	390
45	597	376
46	610	363
47	624	351
48	636	337
49	648	324
50	663	312
51	676	299
52	689	286
53	702	273
54	715	260
55	728	247
56	740	233
57	752	220
58	764	207
59	776	194
60	788	180
61	800	167
62	811	154
63	824	141
64	836	128
65	847	115
66	858	102
67	872	89
68	885	76
69	898	64
70	909	51
71	919	38
72	931	25
73	938	12
74	945	0
